Age_Group,Gender,City_Type,Region,Occupation,Education,Income,Last_Purchase,Yearly_Purchases,Annual_Spend,Western_Frequency,Primary_Channel,Style,Fitness,Top_Factor,Occasion,Product_Interest,Bundle_Interest,Avg_Price,Too_Cheap,Acceptable,Too_Expensive,Trendiness,Quality_Pref,Identity_Expression,Peer_Influence,Aspirational,New_Brand_Open,Sustainability,COD_Preference,Concern,Loyalty_Offer,Brand,Switch_Reason,Discount_Type,Purchase_Intent
50+,Prefer not to say,Tier-2,East,Freelancer,Postgraduate,60k-1L,8-30d,4-6,5-15k,Quarterly,Ajio,Athleisure,3-4x,Comfort,None,Athleisure,Yes,<500,600-900,3000-4000,>6000,5,5,4,1,3,2,1,No,Quality,Free Gift,Roadster,Service,B2G1,Low
41–50,Female,Metro,West,Student,Postgraduate,<15k,8-30d,1-3,<5k,Weekly,Ajio,Athleisure,Occasional,Quality,Sale,Accessories,Yes,500-1000,600-900,1300-2000,>4000,4,5,1,3,3,3,4,Always,Quality,Points,Bonkers,Quality,Flat,Neutral
18–24,Female,Tier-3,North,Homemaker,Graduate,>1L,3-6m,7-12,>1L,Quarterly,Meesho,Formal,Occasional,Trend,None,Sneakers,No,2000-4000,300-600,2000-3000,>2000,3,3,1,3,3,3,5,First time,No online,Points,Newme,Fit,B2G1,Neutral
33–40,Female,Tier-3,West,Homemaker,Graduate,15-30k,1-3m,4-6,15-30k,Weekly,Ajio,Smart,3-4x,Quality,Daily,Co-ord,Yes,<500,1200-1500,800-1300,>3000,1,3,1,4,3,4,1,No,Quality,None,H&M,Trend,Flat,High
50+,Non-binary,Metro,North-East,Government,Postgraduate,>1L,1-3m,1-3,30-60k,Rare,Amazon,Casual,No,Price,None,Athleisure,Maybe,2000-4000,1200-1500,3000-4000,>3000,5,3,2,5,3,5,2,No,None,Early Access,Roadster,Service,Bundle,None
50+,Female,Tier-3,Central,Homemaker,Postgraduate,>1L,>6m,20+,60k-1L,Quarterly,Offline,Formal,3-4x,Brand,None,Athleisure,No,>7000,1200-1500,2000-3000,>6000,5,4,4,3,1,1,4,First time,None,Points,Zara,Price,Scratch,None
18–24,Male,Rural,South,Private,School,60k-1L,1-3m,7-12,5-15k,Quarterly,Myntra,Formal,Occasional,Brand,Festive,Athleisure,No,500-1000,600-900,800-1300,>6000,2,1,5,2,5,4,2,No preference,None,Points,None,Quality,Bundle,High
33–40,Prefer not to say,Tier-2,North,Student,Postgraduate,15-30k,8-30d,7-12,60k-1L,Weekly,Amazon,Casual,3-4x,Price,Festive,Cargo,Maybe,<500,900-1200,2000-3000,>2000,1,5,5,4,2,5,5,Always,Delivery,Early Access,Bonkers,Service,Bundle,High
41–50,Prefer not to say,Tier-2,East,Freelancer,Graduate,NA,<7d,4-6,>1L,Weekly,Ajio,Casual,No,Brand,College,Sneakers,No,2000-4000,300-600,500-800,>3000,3,2,5,1,2,2,5,No,Quality,Birthday,Local,Recommendation,Flat,High
Under 18,Male,Tier-2,Central,Homemaker,School,>1L,<7d,13-20,<5k,Rare,Ajio,Athleisure,Occasional,Price,None,Athleisure,Yes,4000-7000,600-900,800-1300,>3000,4,3,5,5,3,1,3,No preference,Sizing,None,H&M,None,Welcome,Neutral
33–40,Non-binary,Rural,South,Student,Graduate,15-30k,<7d,20+,<5k,Weekly,Instagram,Athleisure,Occasional,Comfort,Sale,Cargo,No,<500,1200-1500,2000-3000,>6000,3,3,4,4,3,5,5,No preference,No online,Early Access,Uniqlo,Trend,B2G1,High
18–24,Non-binary,Tier-2,West,Homemaker,Diploma,30-60k,<7d,13-20,30-60k,Weekly,Ajio,Ethnic,Daily,Quality,Daily,Co-ord,Maybe,<500,600-900,800-1300,>3000,2,1,1,3,3,5,3,No preference,Delivery,Referral,Newme,Recommendation,B2G1,Low
50+,Prefer not to say,Metro,South,Freelancer,School,NA,1-3m,7-12,5-15k,Rare,Offline,Fusion,Daily,Brand,Party,Co-ord,No,<500,600-900,800-1300,>6000,3,3,5,4,4,4,4,No,No online,Early Access,Uniqlo,Quality,B2G1,Moderate
41–50,Female,Tier-3,Central,Business,Graduate,30-60k,1-3m,13-20,>1L,Monthly,Nykaa,Athleisure,Occasional,Comfort,Sale,Accessories,Maybe,2000-4000,600-900,500-800,>1500,4,5,1,2,2,5,2,No,No online,None,Uniqlo,Trend,Scratch,None
33–40,Non-binary,Rural,Central,Freelancer,Postgraduate,30-60k,>6m,1-3,5-15k,Monthly,Myntra,Formal,Occasional,Brand,Sale,Accessories,No,1000-2000,1200-1500,2000-3000,>3000,1,3,5,2,3,3,4,No,Delivery,Early Access,None,Price,B2G1,Low
Under 18,Non-binary,Tier-2,North-East,Freelancer,Diploma,>1L,1-3m,20+,30-60k,Weekly,Amazon,Ethnic,3-4x,Trend,College,Accessories,Maybe,>7000,900-1200,1300-2000,>4000,2,1,2,2,5,5,2,First time,None,None,Local,Service,Bundle,None
Under 18,Male,Metro,North-East,Freelancer,Graduate,30-60k,<7d,13-20,>1L,Rare,Meesho,Ethnic,No,Price,Daily,Cargo,No,<500,<300,3000-4000,>2000,5,4,1,5,4,1,1,No,None,Birthday,Roadster,Price,Welcome,Neutral
25–32,Male,Tier-3,South,Homemaker,School,60k-1L,3-6m,1-3,>1L,Monthly,Ajio,Formal,Occasional,Price,Daily,Co-ord,Yes,4000-7000,300-600,800-1300,>6000,5,5,4,4,1,5,4,Always,Delivery,Early Access,Bonkers,Trend,B2G1,Neutral
25–32,Female,Tier-3,West,Government,Graduate,60k-1L,3-6m,4-6,<5k,Rare,Instagram,Athleisure,No,Comfort,Festive,Accessories,Maybe,4000-7000,300-600,800-1300,>3000,1,4,2,4,4,2,1,First time,None,Early Access,Roadster,Fit,Welcome,High
18–24,Non-binary,Rural,South,Freelancer,Diploma,>1L,8-30d,13-20,<5k,Weekly,Instagram,Formal,Occasional,Trend,Festive,Graphic,Maybe,500-1000,600-900,800-1300,>3000,3,2,2,3,4,3,2,Always,Quality,Birthday,Local,Fit,Flat,None
33–40,Non-binary,Rural,Central,Private,School,15-30k,8-30d,20+,<5k,Weekly,Brand,Smart,No,Quality,Sale,Accessories,No,1000-2000,900-1200,800-1300,>6000,5,1,4,1,4,1,3,No preference,Delivery,Early Access,Local,Recommendation,Flat,Neutral
33–40,Male,Rural,Central,Private,Diploma,<15k,1-3m,1-3,60k-1L,Rare,Myntra,Athleisure,Daily,Trend,College,Co-ord,No,1000-2000,1200-1500,3000-4000,>4000,2,2,2,2,5,1,4,First time,No online,Birthday,Bonkers,None,Scratch,Neutral
50+,Non-binary,Metro,East,Student,Graduate,15-30k,3-6m,13-20,15-30k,Quarterly,Instagram,Fusion,Occasional,Trend,Daily,Graphic,No,2000-4000,<300,1300-2000,>3000,4,2,1,1,2,4,4,First time,Delivery,Referral,Newme,Service,B2G1,None
50+,Prefer not to say,Metro,North-East,Government,Postgraduate,15-30k,<7d,4-6,<5k,Weekly,Brand,Formal,3-4x,Sustainability,College,Cargo,Yes,500-1000,<300,500-800,>1500,3,2,3,1,3,4,3,First time,Delivery,Birthday,Local,Quality,Free Shipping,Neutral
50+,Male,Rural,East,Student,Postgraduate,15-30k,<7d,13-20,15-30k,Weekly,Myntra,Athleisure,No,Quality,Party,Graphic,No,2000-4000,600-900,1300-2000,>2000,4,2,3,2,5,3,3,Always,None,Points,Zara,Recommendation,Scratch,High
25–32,Female,Tier-2,North,Private,Graduate,15-30k,<7d,1-3,15-30k,Weekly,Ajio,Casual,Occasional,Quality,Daily,Co-ord,Maybe,500-1000,600-900,3000-4000,>6000,3,1,5,2,5,1,5,Always,Delivery,Points,Local,Price,Bundle,Neutral
33–40,Male,Tier-3,Central,Unemployed,Graduate,NA,1-3m,13-20,5-15k,Weekly,Myntra,Smart,Daily,Trend,Festive,Athleisure,No,>7000,1200-1500,2000-3000,>3000,2,4,5,3,3,2,5,No preference,Sizing,None,Local,Fit,Scratch,Low
33–40,Non-binary,Tier-3,East,Private,Graduate,<15k,1-3m,20+,30-60k,Rare,Myntra,Fusion,Daily,Brand,Sale,Graphic,Yes,1000-2000,1200-1500,500-800,>2000,4,3,1,5,4,5,2,No,Sizing,Birthday,None,Fit,B2G1,Low
Under 18,Female,Metro,South,Business,School,NA,>6m,7-12,60k-1L,Rare,Meesho,Athleisure,Daily,Sustainability,College,Co-ord,No,>7000,1200-1500,500-800,>6000,2,2,4,2,1,5,4,Always,Quality,Early Access,Zara,Quality,Bundle,High
25–32,Male,Tier-3,North-East,Freelancer,Diploma,30-60k,<7d,1-3,15-30k,Rare,Ajio,Casual,Daily,Brand,Festive,Accessories,No,2000-4000,600-900,2000-3000,>6000,4,3,1,1,4,5,3,No preference,Delivery,Free Gift,H&M,Price,B2G1,Low
41–50,Prefer not to say,Tier-2,North-East,Unemployed,Diploma,15-30k,<7d,1-3,60k-1L,Rare,Offline,Athleisure,Occasional,Trend,Sale,Athleisure,Maybe,500-1000,900-1200,800-1300,>6000,3,3,5,3,4,4,3,No,Delivery,Free Gift,Local,Trend,Bundle,Neutral
25–32,Prefer not to say,Tier-3,West,Private,Diploma,60k-1L,1-3m,1-3,5-15k,Quarterly,Instagram,Casual,3-4x,Brand,Festive,Cargo,No,1000-2000,600-900,3000-4000,>4000,2,2,2,4,2,1,1,First time,No online,Referral,Roadster,Recommendation,Free Shipping,Low
41–50,Male,Metro,South,Homemaker,Graduate,>1L,1-3m,1-3,<5k,Rare,Brand,Fusion,No,Quality,Daily,Cargo,Yes,1000-2000,600-900,2000-3000,>1500,3,5,1,3,4,1,5,No,None,Referral,Roadster,Fit,Free Shipping,Low
Under 18,Prefer not to say,Metro,West,Homemaker,Diploma,>1L,>6m,13-20,>1L,Rare,Meesho,Smart,3-4x,Quality,College,Sneakers,No,<500,<300,1300-2000,>6000,3,3,1,2,1,2,1,Always,No online,Free Gift,Roadster,Service,Scratch,Neutral
18–24,Prefer not to say,Tier-2,East,Student,Graduate,NA,>6m,20+,15-30k,Weekly,Meesho,Casual,No,Brand,Party,Cargo,No,2000-4000,1200-1500,1300-2000,>4000,4,5,4,2,5,4,3,No preference,Returns,Free Gift,Zara,Service,Flat,None
33–40,Prefer not to say,Tier-2,North,Unemployed,School,NA,8-30d,4-6,30-60k,Quarterly,Offline,Ethnic,3-4x,Quality,None,Sneakers,Maybe,<500,300-600,2000-3000,>6000,4,4,5,5,4,2,4,First time,No online,Birthday,None,Trend,Scratch,High
Under 18,Female,Tier-3,South,Student,Postgraduate,60k-1L,3-6m,20+,>1L,Weekly,Brand,Fusion,Occasional,Price,Festive,Cargo,No,1000-2000,1200-1500,3000-4000,>6000,2,3,1,3,5,1,4,First time,Returns,Free Gift,None,Quality,B2G1,None
33–40,Prefer not to say,Tier-3,South,Freelancer,Graduate,15-30k,<7d,1-3,5-15k,Quarterly,Nykaa,Fusion,Occasional,Quality,None,Cargo,Maybe,2000-4000,900-1200,500-800,>4000,5,1,2,2,2,5,1,No,Delivery,Points,Local,Quality,Free Shipping,None
50+,Prefer not to say,Metro,South,Freelancer,Graduate,<15k,<7d,13-20,60k-1L,Monthly,Instagram,Formal,No,Trend,College,Cargo,Maybe,2000-4000,900-1200,500-800,>1500,1,4,2,1,1,4,5,No,Quality,Referral,H&M,Recommendation,Free Shipping,Low
18–24,Prefer not to say,Tier-2,West,Business,Postgraduate,30-60k,>6m,13-20,<5k,Quarterly,Brand,Smart,Occasional,Comfort,Daily,Sneakers,No,>7000,1200-1500,800-1300,>2000,4,4,3,1,3,4,2,Always,Sizing,None,Zara,Fit,Scratch,Moderate
18–24,Female,Tier-2,East,Government,Postgraduate,>1L,>6m,1-3,60k-1L,Quarterly,Brand,Ethnic,No,Brand,Festive,Accessories,Maybe,4000-7000,1200-1500,3000-4000,>3000,3,5,5,3,3,4,4,First time,Delivery,Referral,Uniqlo,Recommendation,B2G1,None
Under 18,Male,Tier-2,South,Student,School,30-60k,8-30d,13-20,30-60k,Weekly,Myntra,Ethnic,3-4x,Sustainability,Daily,Sneakers,Maybe,500-1000,600-900,1300-2000,>6000,1,2,2,5,2,5,2,No,Delivery,Points,Bonkers,Fit,Scratch,Neutral
18–24,Non-binary,Tier-3,South,Freelancer,Diploma,<15k,3-6m,1-3,15-30k,Quarterly,Nykaa,Formal,Occasional,Brand,Party,Graphic,No,4000-7000,300-600,1300-2000,>1500,2,1,4,3,1,4,5,First time,Quality,Referral,Roadster,Fit,Scratch,Neutral
41–50,Prefer not to say,Tier-2,North-East,Student,Graduate,NA,8-30d,20+,30-60k,Quarterly,Ajio,Casual,Occasional,Quality,Party,Co-ord,No,4000-7000,600-900,800-1300,>3000,1,1,5,5,5,3,1,No preference,Quality,Free Gift,Local,Trend,Scratch,Neutral
18–24,Male,Metro,North,Freelancer,Diploma,>1L,3-6m,7-12,60k-1L,Weekly,Ajio,Casual,No,Quality,Sale,Co-ord,Yes,1000-2000,<300,1300-2000,>6000,1,5,2,1,2,4,5,No preference,Returns,Referral,Local,Trend,B2G1,Moderate
33–40,Prefer not to say,Metro,North-East,Private,Graduate,30-60k,<7d,13-20,60k-1L,Monthly,Amazon,Ethnic,No,Comfort,Sale,Accessories,Yes,>7000,<300,800-1300,>3000,5,5,1,2,4,5,3,Always,Delivery,Points,Bonkers,Fit,Flat,Moderate
33–40,Female,Tier-3,North-East,Student,School,NA,8-30d,1-3,>1L,Monthly,Nykaa,Smart,No,Comfort,Sale,Co-ord,Maybe,500-1000,900-1200,800-1300,>4000,5,4,5,4,5,4,5,First time,Delivery,Referral,Uniqlo,Quality,Free Shipping,High
33–40,Male,Rural,North,Private,Postgraduate,<15k,>6m,1-3,30-60k,Monthly,Myntra,Casual,No,Sustainability,Daily,Cargo,Maybe,4000-7000,900-1200,2000-3000,>1500,1,5,2,2,4,3,1,No,None,None,Newme,Price,Bundle,Moderate
33–40,Female,Tier-3,East,Student,School,30-60k,8-30d,13-20,30-60k,Quarterly,Amazon,Fusion,Daily,Trend,Sale,Accessories,No,4000-7000,300-600,500-800,>1500,5,2,1,1,4,3,1,No preference,Sizing,None,Local,Fit,B2G1,High
41–50,Prefer not to say,Rural,North-East,Government,Postgraduate,15-30k,8-30d,4-6,30-60k,Weekly,Amazon,Athleisure,No,Price,College,Co-ord,Yes,2000-4000,900-1200,3000-4000,>2000,5,4,3,1,5,4,5,No preference,None,None,Bonkers,Quality,B2G1,Neutral
25–32,Prefer not to say,Tier-2,East,Business,Diploma,NA,<7d,1-3,<5k,Monthly,Ajio,Formal,Daily,Trend,None,Sneakers,Yes,1000-2000,<300,3000-4000,>2000,1,4,5,2,4,1,1,Always,None,None,Bonkers,Quality,B2G1,Moderate
50+,Female,Tier-3,North-East,Homemaker,Diploma,<15k,>6m,13-20,60k-1L,Monthly,Brand,Smart,3-4x,Sustainability,None,Graphic,No,4000-7000,300-600,500-800,>3000,4,4,5,2,3,1,3,No preference,Sizing,Free Gift,Local,Service,Scratch,Low
Under 18,Non-binary,Metro,Central,Homemaker,School,30-60k,>6m,1-3,5-15k,Monthly,Myntra,Casual,No,Brand,Daily,Athleisure,No,500-1000,<300,3000-4000,>4000,5,1,2,1,5,2,2,Always,Delivery,None,Bonkers,Recommendation,Scratch,Low
33–40,Female,Tier-2,North,Homemaker,Postgraduate,15-30k,1-3m,4-6,<5k,Monthly,Meesho,Athleisure,Daily,Quality,Daily,Graphic,No,<500,1200-1500,1300-2000,>3000,1,1,3,2,2,3,5,First time,Returns,None,Local,Price,B2G1,Low
18–24,Prefer not to say,Metro,North-East,Private,School,15-30k,1-3m,7-12,<5k,Weekly,Meesho,Ethnic,Daily,Trend,Sale,Co-ord,No,<500,1200-1500,1300-2000,>6000,4,4,4,4,3,1,1,No,Sizing,Birthday,Local,Fit,Free Shipping,Moderate
33–40,Female,Tier-2,Central,Unemployed,Postgraduate,<15k,1-3m,4-6,<5k,Monthly,Nykaa,Formal,Daily,Quality,None,Accessories,Yes,1000-2000,300-600,3000-4000,>1500,5,2,2,4,2,2,2,First time,Quality,None,Local,None,Bundle,Moderate
18–24,Non-binary,Tier-3,West,Freelancer,Postgraduate,60k-1L,<7d,20+,>1L,Quarterly,Amazon,Casual,Occasional,Quality,None,Co-ord,No,<500,600-900,2000-3000,>3000,1,3,2,3,1,1,3,First time,Delivery,Free Gift,Zara,Price,Flat,Moderate
50+,Female,Rural,Central,Homemaker,Diploma,>1L,8-30d,13-20,5-15k,Quarterly,Myntra,Ethnic,Daily,Trend,Sale,Sneakers,No,2000-4000,900-1200,3000-4000,>3000,5,4,4,4,2,4,5,First time,Sizing,None,Bonkers,Fit,Welcome,Low
50+,Non-binary,Tier-2,South,Government,Diploma,<15k,>6m,4-6,30-60k,Weekly,Ajio,Casual,No,Trend,Daily,Graphic,Yes,2000-4000,300-600,800-1300,>1500,4,5,4,1,5,3,1,No,Sizing,Referral,None,None,Free Shipping,Neutral
50+,Non-binary,Rural,North-East,Homemaker,Postgraduate,15-30k,>6m,7-12,>1L,Rare,Amazon,Formal,No,Comfort,Party,Sneakers,No,500-1000,900-1200,800-1300,>1500,1,3,4,1,2,1,2,First time,No online,None,Uniqlo,Recommendation,Free Shipping,None
18–24,Female,Tier-2,Central,Student,Postgraduate,15-30k,8-30d,1-3,60k-1L,Monthly,Amazon,Fusion,No,Sustainability,Party,Sneakers,Yes,>7000,<300,500-800,>2000,4,1,4,3,1,4,3,First time,Sizing,Early Access,Roadster,Price,Welcome,Neutral
33–40,Female,Metro,East,Private,Postgraduate,<15k,>6m,13-20,15-30k,Monthly,Offline,Fusion,Daily,Sustainability,Sale,Athleisure,Yes,1000-2000,600-900,1300-2000,>2000,3,1,4,5,4,2,4,Always,Returns,Referral,H&M,Price,Welcome,Moderate
50+,Male,Metro,West,Unemployed,Diploma,60k-1L,8-30d,4-6,>1L,Quarterly,Ajio,Athleisure,Daily,Price,Party,Sneakers,No,1000-2000,900-1200,2000-3000,>1500,2,3,1,3,5,4,1,Always,None,None,Newme,Quality,B2G1,None
41–50,Prefer not to say,Tier-2,North-East,Student,Diploma,>1L,<7d,7-12,15-30k,Weekly,Meesho,Ethnic,Occasional,Comfort,College,Sneakers,No,<500,1200-1500,3000-4000,>3000,3,5,1,5,3,2,3,Always,None,None,Roadster,None,Bundle,None
18–24,Non-binary,Rural,South,Unemployed,Graduate,30-60k,<7d,4-6,60k-1L,Rare,Offline,Fusion,3-4x,Price,College,Athleisure,Maybe,4000-7000,1200-1500,800-1300,>6000,5,1,4,5,3,1,2,No,No online,Referral,H&M,Price,Free Shipping,Neutral
18–24,Male,Tier-3,Central,Student,Postgraduate,<15k,<7d,20+,5-15k,Quarterly,Ajio,Formal,Occasional,Trend,College,Cargo,Maybe,4000-7000,<300,1300-2000,>3000,4,1,3,2,2,5,5,No preference,Sizing,Points,Roadster,Price,Free Shipping,Low
33–40,Female,Tier-3,West,Student,Graduate,>1L,8-30d,13-20,15-30k,Rare,Ajio,Ethnic,No,Sustainability,Daily,Cargo,Yes,>7000,300-600,1300-2000,>6000,1,4,3,4,3,4,2,No preference,Sizing,Early Access,None,Recommendation,Flat,High
18–24,Prefer not to say,Metro,North-East,Business,Postgraduate,>1L,8-30d,1-3,<5k,Weekly,Offline,Casual,No,Sustainability,Daily,Accessories,Yes,4000-7000,900-1200,2000-3000,>1500,4,2,4,5,1,5,5,First time,None,Points,Bonkers,None,Welcome,Low
18–24,Male,Tier-3,West,Business,Diploma,NA,3-6m,7-12,>1L,Weekly,Meesho,Smart,No,Price,Daily,Athleisure,Maybe,>7000,<300,2000-3000,>6000,5,5,1,2,3,3,3,No preference,Returns,None,Newme,Fit,Welcome,Low
50+,Non-binary,Metro,South,Freelancer,Graduate,15-30k,>6m,4-6,15-30k,Weekly,Instagram,Casual,Occasional,Brand,Daily,Accessories,Yes,500-1000,1200-1500,2000-3000,>2000,1,4,3,3,2,5,3,First time,Delivery,Points,Local,Quality,Free Shipping,None
33–40,Male,Tier-3,Central,Private,Graduate,30-60k,>6m,13-20,60k-1L,Quarterly,Myntra,Formal,No,Comfort,Daily,Accessories,Maybe,1000-2000,1200-1500,2000-3000,>1500,3,2,1,3,3,3,2,Always,None,Free Gift,Roadster,Price,Welcome,Moderate
50+,Non-binary,Tier-2,West,Government,School,<15k,3-6m,4-6,<5k,Weekly,Myntra,Athleisure,No,Comfort,Sale,Sneakers,No,<500,1200-1500,800-1300,>4000,4,1,2,5,4,1,2,First time,Sizing,Birthday,Newme,Quality,B2G1,Moderate
50+,Female,Metro,West,Government,Postgraduate,15-30k,3-6m,13-20,15-30k,Quarterly,Instagram,Ethnic,No,Comfort,Party,Accessories,No,500-1000,600-900,2000-3000,>6000,2,2,1,2,4,1,5,No,Returns,Referral,Zara,Quality,Flat,None
33–40,Prefer not to say,Metro,North,Government,Diploma,NA,<7d,20+,60k-1L,Quarterly,Myntra,Casual,Daily,Sustainability,Sale,Co-ord,No,2000-4000,600-900,1300-2000,>6000,5,1,4,1,3,4,1,No preference,Returns,Early Access,Zara,Trend,Free Shipping,Low
Under 18,Prefer not to say,Tier-2,West,Student,School,NA,3-6m,4-6,5-15k,Monthly,Brand,Ethnic,3-4x,Quality,Party,Graphic,Yes,2000-4000,1200-1500,1300-2000,>4000,5,4,5,4,5,5,2,First time,No online,Referral,Bonkers,Fit,Scratch,Neutral
50+,Prefer not to say,Metro,North,Business,School,15-30k,8-30d,20+,60k-1L,Quarterly,Amazon,Fusion,Daily,Sustainability,Sale,Co-ord,No,2000-4000,300-600,3000-4000,>4000,4,1,4,5,3,3,1,Always,Sizing,Points,Bonkers,Trend,Flat,High
41–50,Female,Tier-3,Central,Private,Postgraduate,60k-1L,1-3m,7-12,5-15k,Quarterly,Myntra,Smart,Daily,Quality,College,Co-ord,Yes,>7000,600-900,1300-2000,>1500,3,2,2,1,4,3,1,No,Quality,Birthday,Zara,Quality,Scratch,Low
41–50,Non-binary,Tier-3,North-East,Student,School,>1L,8-30d,20+,<5k,Monthly,Brand,Formal,3-4x,Sustainability,Festive,Sneakers,No,>7000,900-1200,1300-2000,>3000,3,4,1,4,4,5,1,First time,Returns,Points,None,Recommendation,B2G1,Low
18–24,Female,Metro,North-East,Unemployed,Postgraduate,<15k,3-6m,13-20,60k-1L,Rare,Amazon,Casual,3-4x,Trend,Daily,Graphic,Yes,1000-2000,600-900,800-1300,>4000,2,2,3,1,1,1,3,First time,None,Referral,Roadster,Recommendation,Flat,High
41–50,Prefer not to say,Tier-3,Central,Business,School,<15k,>6m,7-12,30-60k,Monthly,Myntra,Smart,Occasional,Sustainability,Festive,Accessories,Yes,2000-4000,900-1200,1300-2000,>6000,2,2,4,2,2,1,3,First time,Quality,Free Gift,Local,Price,Scratch,Neutral
18–24,Female,Rural,Central,Business,Postgraduate,<15k,8-30d,4-6,>1L,Monthly,Ajio,Formal,3-4x,Trend,Festive,Graphic,Maybe,>7000,600-900,500-800,>4000,4,3,3,5,1,3,1,No,No online,Referral,H&M,None,Welcome,High
Under 18,Female,Metro,East,Homemaker,Diploma,15-30k,>6m,4-6,30-60k,Weekly,Instagram,Formal,Occasional,Quality,College,Accessories,Maybe,>7000,1200-1500,1300-2000,>1500,1,1,1,1,5,4,1,First time,Delivery,Points,H&M,Fit,Free Shipping,None
33–40,Female,Tier-2,Central,Homemaker,Postgraduate,60k-1L,8-30d,13-20,30-60k,Weekly,Nykaa,Athleisure,Occasional,Comfort,Festive,Cargo,Maybe,4000-7000,900-1200,3000-4000,>1500,3,1,2,1,2,1,3,Always,None,Early Access,Local,Service,Flat,High
33–40,Non-binary,Rural,West,Private,Postgraduate,30-60k,>6m,1-3,30-60k,Monthly,Myntra,Fusion,Daily,Quality,Festive,Athleisure,Yes,>7000,300-600,3000-4000,>6000,1,2,4,1,3,2,5,Always,No online,Early Access,Zara,Fit,Bundle,High
